RESPALDO,MARCA,REFERENCIA,CILINDRAJE,KILOMETRAJE,Cambio,,,,,
AKT,VOGE,300 DS,300,500,Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"1,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"1,500",,,,,,
AKT,VOGE,300 DS,300,"2,000",,,,,,
AKT,VOGE,300 DS,300,"2,500",,,,,,
AKT,VOGE,300 DS,300,"3,000",,,,,,
AKT,VOGE,300 DS,300,"3,500",,,,,,
AKT,VOGE,300 DS,300,"4,000",Aceite del motor,Filtro de gasolina,,,,
AKT,VOGE,300 DS,300,"4,500",Aceite del motor,Filtro de gasolina,,,,
AKT,VOGE,300 DS,300,"5,000",,,,,,
AKT,VOGE,300 DS,300,"5,500",,,,,,
AKT,VOGE,300 DS,300,"6,000",,,,,,
AKT,VOGE,300 DS,300,"6,500",,,,,,
AKT,VOGE,300 DS,300,"7,000",,,,,,
AKT,VOGE,300 DS,300,"7,500",,,,,,
AKT,VOGE,300 DS,300,"8,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"8,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"9,000",,,,,,
AKT,VOGE,300 DS,300,"9,500",,,,,,
AKT,VOGE,300 DS,300,"10,000",,,,,,
AKT,VOGE,300 DS,300,"10,500",,,,,,
AKT,VOGE,300 DS,300,"11,000",,,,,,
AKT,VOGE,300 DS,300,"11,500",,,,,,
AKT,VOGE,300 DS,300,"12,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"12,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"13,000",,,,,,
AKT,VOGE,300 DS,300,"13,500",,,,,,
AKT,VOGE,300 DS,300,"14,000",,,,,,
AKT,VOGE,300 DS,300,"14,500",,,,,,
AKT,VOGE,300 DS,300,"15,000",,,,,,
AKT,VOGE,300 DS,300,"15,500",,,,,,
AKT,VOGE,300 DS,300,"16,000",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"16,500",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"17,000",,,,,,
AKT,VOGE,300 DS,300,"17,500",,,,,,
AKT,VOGE,300 DS,300,"18,000",,,,,,
AKT,VOGE,300 DS,300,"18,500",,,,,,
AKT,VOGE,300 DS,300,"19,000",,,,,,
AKT,VOGE,300 DS,300,"19,500",Aceite del motor,Aceite de supsensión,,,,
AKT,VOGE,300 DS,300,"20,000",Aceite del motor,Aceite de supsensión,,,,
AKT,VOGE,300 DS,300,"20,500",,,,,,
AKT,VOGE,300 DS,300,"21,000",,,,,,
AKT,VOGE,300 DS,300,"21,500",,,,,,
AKT,VOGE,300 DS,300,"22,000",,,,,,
AKT,VOGE,300 DS,300,"22,500",,,,,,
AKT,VOGE,300 DS,300,"23,000",,,,,,
AKT,VOGE,300 DS,300,"23,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"24,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"24,500",,,,,,
AKT,VOGE,300 DS,300,"25,000",,,,,,
AKT,VOGE,300 DS,300,"25,500",,,,,,
AKT,VOGE,300 DS,300,"26,000",,,,,,
AKT,VOGE,300 DS,300,"26,500",,,,,,
AKT,VOGE,300 DS,300,"27,000",,,,,,
AKT,VOGE,300 DS,300,"27,500",,,,,,
AKT,VOGE,300 DS,300,"28,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"28,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"29,000",,,,,,
AKT,VOGE,300 DS,300,"29,500",,,,,,
AKT,VOGE,300 DS,300,"30,000",,,,,,
AKT,VOGE,300 DS,300,"30,500",,,,,,
AKT,VOGE,300 DS,300,"31,000",,,,,,
AKT,VOGE,300 DS,300,"31,500",,,,,,
AKT,VOGE,300 DS,300,"32,000",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"32,500",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"33,000",,,,,,
AKT,VOGE,300 DS,300,"33,500",,,,,,
AKT,VOGE,300 DS,300,"34,000",,,,,,
AKT,VOGE,300 DS,300,"34,500",,,,,,
AKT,VOGE,300 DS,300,"35,000",,,,,,
AKT,VOGE,300 DS,300,"35,500",,,,,,
AKT,VOGE,300 DS,300,"36,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"36,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"37,000",,,,,,
AKT,VOGE,300 DS,300,"37,500",,,,,,
AKT,VOGE,300 DS,300,"38,000",,,,,,
AKT,VOGE,300 DS,300,"38,500",,,,,,
AKT,VOGE,300 DS,300,"39,000",,,,,,
AKT,VOGE,300 DS,300,"39,500",,,,,,
AKT,VOGE,300 DS,300,"40,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"40,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"41,000",,,,,,
AKT,VOGE,300 DS,300,"41,500",,,,,,
AKT,VOGE,300 DS,300,"42,000",,,,,,
AKT,VOGE,300 DS,300,"42,500",,,,,,
AKT,VOGE,300 DS,300,"43,000",,,,,,
AKT,VOGE,300 DS,300,"43,500",,,,,,
AKT,VOGE,300 DS,300,"44,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"44,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"45,000",,,,,,
AKT,VOGE,300 DS,300,"45,500",,,,,,
AKT,VOGE,300 DS,300,"46,000",,,,,,
AKT,VOGE,300 DS,300,"46,500",,,,,,
AKT,VOGE,300 DS,300,"47,000",,,,,,
AKT,VOGE,300 DS,300,"47,500",,,,,,
AKT,VOGE,300 DS,300,"48,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"48,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"49,000",,,,,,
AKT,VOGE,300 DS,300,"49,500",,,,,,
AKT,VOGE,300 DS,300,"50,000",,,,,,
AKT,VOGE,300 DS,300,"50,500",,,,,,
AKT,VOGE,300 DS,300,"51,000",,,,,,
AKT,VOGE,300 DS,300,"51,500",,,,,,
AKT,VOGE,300 DS,300,"52,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"52,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"53,000",,,,,,
AKT,VOGE,300 DS,300,"53,500",,,,,,
AKT,VOGE,300 DS,300,"54,000",,,,,,
AKT,VOGE,300 DS,300,"54,500",,,,,,
AKT,VOGE,300 DS,300,"55,000",,,,,,
AKT,VOGE,300 DS,300,"55,500",,,,,,
AKT,VOGE,300 DS,300,"56,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"56,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"57,000",,,,,,
AKT,VOGE,300 DS,300,"57,500",,,,,,
AKT,VOGE,300 DS,300,"58,000",,,,,,
AKT,VOGE,300 DS,300,"58,500",,,,,,
AKT,VOGE,300 DS,300,"59,000",,,,,,
AKT,VOGE,300 DS,300,"59,500",,,,,,
AKT,VOGE,300 DS,300,"60,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"60,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"61,000",,,,,,
AKT,VOGE,300 DS,300,"61,500",,,,,,
AKT,VOGE,300 DS,300,"62,000",,,,,,
AKT,VOGE,300 DS,300,"62,500",,,,,,
AKT,VOGE,300 DS,300,"63,000",,,,,,
AKT,VOGE,300 DS,300,"63,500",,,,,,
AKT,VOGE,300 DS,300,"64,000",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"64,500",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"65,000",,,,,,
AKT,VOGE,300 DS,300,"65,500",,,,,,
AKT,VOGE,300 DS,300,"66,000",,,,,,
AKT,VOGE,300 DS,300,"66,500",,,,,,
AKT,VOGE,300 DS,300,"67,000",,,,,,
AKT,VOGE,300 DS,300,"67,500",,,,,,
AKT,VOGE,300 DS,300,"68,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"68,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"69,000",,,,,,
AKT,VOGE,300 DS,300,"69,500",,,,,,
AKT,VOGE,300 DS,300,"70,000",,,,,,
AKT,VOGE,300 DS,300,"70,500",,,,,,
AKT,VOGE,300 DS,300,"71,000",,,,,,
AKT,VOGE,300 DS,300,"71,500",,,,,,
AKT,VOGE,300 DS,300,"72,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"72,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"73,000",,,,,,
AKT,VOGE,300 DS,300,"73,500",,,,,,
AKT,VOGE,300 DS,300,"74,000",,,,,,
AKT,VOGE,300 DS,300,"74,500",,,,,,
AKT,VOGE,300 DS,300,"75,000",,,,,,
AKT,VOGE,300 DS,300,"75,500",,,,,,
AKT,VOGE,300 DS,300,"76,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"76,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"77,000",,,,,,
AKT,VOGE,300 DS,300,"77,500",,,,,,
AKT,VOGE,300 DS,300,"78,000",,,,,,
AKT,VOGE,300 DS,300,"78,500",,,,,,
AKT,VOGE,300 DS,300,"79,000",,,,,,
AKT,VOGE,300 DS,300,"79,500",,,,,,
AKT,VOGE,300 DS,300,"80,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"80,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"81,000",,,,,,
AKT,VOGE,300 DS,300,"81,500",,,,,,
AKT,VOGE,300 DS,300,"82,000",,,,,,
AKT,VOGE,300 DS,300,"82,500",,,,,,
AKT,VOGE,300 DS,300,"83,000",,,,,,
AKT,VOGE,300 DS,300,"83,500",,,,,,
AKT,VOGE,300 DS,300,"84,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"84,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"85,000",,,,,,
AKT,VOGE,300 DS,300,"85,500",,,,,,
AKT,VOGE,300 DS,300,"86,000",,,,,,
AKT,VOGE,300 DS,300,"86,500",,,,,,
AKT,VOGE,300 DS,300,"87,000",,,,,,
AKT,VOGE,300 DS,300,"87,500",,,,,,
AKT,VOGE,300 DS,300,"88,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"88,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"89,000",,,,,,
AKT,VOGE,300 DS,300,"89,500",,,,,,
